"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"
"#"," "
"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"
"#"," "
"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."
"#"," "
">","type","thread_colors"
; HUS Colors (find a citation)
;
; CSV format: red, green, blue, name, catalog_number
;
   0,   0,   0  "Black",        "TODO:HUS_CATALOG_NUMBER"
   0,   0, 255  "Blue",         "TODO:HUS_CATALOG_NUMBER"
   0, 255,   0  "Light Green",  "TODO:HUS_CATALOG_NUMBER"
 255,   0,   0  "Red",          "TODO:HUS_CATALOG_NUMBER"
 255,   0, 255  "Purple",       "TODO:HUS_CATALOG_NUMBER"
 255, 255,   0  "Yellow",       "TODO:HUS_CATALOG_NUMBER"
 127, 127, 127  "Gray",         "TODO:HUS_CATALOG_NUMBER"
  51, 154, 255  "Light Blue",   "TODO:HUS_CATALOG_NUMBER"
  51, 204, 102  "Green",        "TODO:HUS_CATALOG_NUMBER"
 255, 127,   0  "Orange",       "TODO:HUS_CATALOG_NUMBER"
 255, 160, 180  "Pink",         "TODO:HUS_CATALOG_NUMBER"
 153,  75,   0  "Brown",        "TODO:HUS_CATALOG_NUMBER"
 255, 255, 255  "White",        "TODO:HUS_CATALOG_NUMBER"
   0,   0, 127  "Dark Blue",    "TODO:HUS_CATALOG_NUMBER"
   0, 127,   0  "Dark Green",   "TODO:HUS_CATALOG_NUMBER"
 127,   0,   0  "Dark Red",     "TODO:HUS_CATALOG_NUMBER"
 255, 127, 127  "Light Red",    "TODO:HUS_CATALOG_NUMBER"
 127,   0, 127  "Dark Purple",  "TODO:HUS_CATALOG_NUMBER"
 255, 127, 255  "Light Purple", "TODO:HUS_CATALOG_NUMBER"
 200, 200,   0  "Dark Yellow",  "TODO:HUS_CATALOG_NUMBER"
 255, 255, 153  "Light Yellow", "TODO:HUS_CATALOG_NUMBER"
  60,  60,  60  "Dark Gray",    "TODO:HUS_CATALOG_NUMBER"
 192, 192, 192  "Light Gray",   "TODO:HUS_CATALOG_NUMBER"
 232,  63,   0  "Dark Orange",  "TODO:HUS_CATALOG_NUMBER"
 255, 165,  65  "Light Orange", "TODO:HUS_CATALOG_NUMBER"
 255, 102, 122  "Dark Pink",    "TODO:HUS_CATALOG_NUMBER"
 255, 204, 204  "Light Pink",   "TODO:HUS_CATALOG_NUMBER"
 115,  40,   0  "Dark Brown",   "TODO:HUS_CATALOG_NUMBER"
 175,  90,  10  "Light Brown",  "TODO:HUS_CATALOG_NUMBER"
EOF
